84,2006,1,Drama,tt0808878,Bekhal's Tears,Bekhal's Tears,movie
129,2005,2,"Comedy,Romance",tt0808892,Kanda Naal Mudhal,Kanda Naal Mudhal,movie
98,2004,3,"Horror,Thriller",tt0808894,Tuk kae phii,Lizard Woman,movie
101,2006,4,Documentary,tt0808898,Millions: A Lottery Story,Millions: A Lottery Story,movie
144,2006,5,"Comedy,Drama,Romance",tt0808904,Pachakuthira,Pachakuthira,movie
80,2006,6,"Comedy,Drama",tt0808905,Period Piece,Period Piece,movie
74,2006,7,Drama,tt0808915,A Snake's Tail,A Snake's Tail,movie
95,2007,7746,"Comedy,Fantasy",tt0954329,Ekipo Ja,Ekipo Ja,movie
95,2007,7747,"Comedy,Fantasy",tt0954329,Ekipo Ja,Ekipo Ja,movie
85,2004,11,Documentary,tt0809118,Gib mich die Kirsche! - Die 1. deutsche Fußballrolle,Gib mich die Kirsche! - Die 1. deutsche Fußballrolle,movie
90,2003,14,Documentary,tt0809216,Das Paradies auf Erden,Das Paradies auf Erden,movie
68,2006,19,"Documentary,Drama,War",tt0809349,Losing Ahmad,Losing Ahmad,movie
81,2006,20,"Drama,Romance",tt0809356,Le sable,Le sable,movie
96,1955,21,"Action,Drama",tt0809357,Sanda Wong,Sanda Wong,movie
89,2006,22,"Comedy,Drama",tt0809407,A fost sau n-a fost?,12:08 East of Bucharest,movie
101,2007,24,Drama,tt0809410,Atlas de geografía humana,Atlas of Human Geography,movie
45,2006,28,Drama,tt0809420,Les deux vies du serpent,Second Skin,movie
84,2007,29,Drama,tt0809425,Dans la ville de Sylvia,In the City of Sylvia,movie
63,2006,30,Drama,tt0809427,Fantasma,Fantasma,movie
137,2009,31,"Biography,Drama,Music",tt0809432,Hilde,Hilde,movie
89,2007,32,Documentary,tt0809439,Lagerfeld Confidential,Lagerfeld Confidential,movie
67,2006,33,,tt0809443,Melvil,Melvil,movie
117,2006,36,"Action,Drama",tt0809469,Limit of Love: Umizaru,Limit of Love: Umizaru,movie
70,1995,37,Drama,tt0809479,Zelfbeklag,Zelfbeklag,movie
90,2008,38,"Comedy,Romance",tt0809504,The Accidental Husband,The Accidental Husband,movie
45,2006,39,Drama,tt0809507,Charell,Charell,movie
98,2006,40,Comedy,tt0809517,Manay po!,Manay po!,movie
